,BLOCK,DATE,TIME,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION,AC_POWER,DC_POWER
0,1,2020-05-15,00:00,27.004763700000005,25.0607889,0.0,0.0,0.0
1,2,2020-05-15,00:15,26.880811433333328,24.421868833333328,0.0,0.0,0.0
2,3,2020-05-15,00:30,26.682055344827592,24.427290310344823,0.0,0.0,0.0
3,4,2020-05-15,00:45,26.500588900000004,24.4206776,0.0,0.0,0.0
4,5,2020-05-15,01:00,26.596148,25.088210413793107,0.0,0.0,0.0
5,6,2020-05-15,01:15,26.512740033333333,25.31796966666667,0.0,0.0,0.0
6,7,2020-05-15,01:30,26.494338966666664,25.217192533333336,0.0,0.0,0.0
7,8,2020-05-15,01:45,26.420410206896552,25.065062310344832,0.0,0.0,0.0
8,9,2020-05-15,02:00,26.401946133333333,24.691469366666656,0.0,0.0,0.0
9,10,2020-05-15,02:15,26.22607820689656,24.55948079310345,0.0,0.0,0.0
10,11,2020-05-15,02:30,26.2603992,24.482406633333337,0.0,0.0,0.0
11,12,2020-05-15,02:45,26.2978261,24.4886982,0.0,0.0,0.0
12,13,2020-05-15,03:00,26.328249103448275,24.50628962068966,0.0,0.0,0.0
13,14,2020-05-15,03:15,26.15870973333333,24.595197433333333,0.0,0.0,0.0
14,15,2020-05-15,03:30,26.078499333333333,24.801314366666663,0.0,0.0,0.0
15,16,2020-05-15,03:45,26.00130396551724,24.60781744827586,0.0,0.0,0.0
16,17,2020-05-15,04:00,25.6972106,24.626179,0.0,0.0,0.0
17,18,2020-05-15,04:15,25.6277024137931,24.773145068965515,0.0,0.0,0.0
18,19,2020-05-15,04:30,25.482045785714284,24.796690750000003,0.0,0.0,0.0
19,20,2020-05-15,04:45,25.23093168965517,24.43690427586207,0.0,0.0,0.0
20,21,2020-05-15,05:00,25.1175986,24.104579633333337,0.0,0.0,0.0
21,22,2020-05-15,05:15,25.0918621,23.897232,0.0,0.0,0.0
22,23,2020-05-15,05:30,24.916967827586213,23.83947131034483,0.0,0.0,0.0
23,24,2020-05-15,05:45,24.741273799999995,23.7866618,0.002838054505,0.0,0.0
24,25,2020-05-15,06:00,24.74278656666667,24.07722983333333,0.0129619781466666,0.3204333333333334,0.33199333333333325
25,26,2020-05-15,06:15,24.76391089655172,24.356189448275863,0.0210376687241379,0.566977619047619,0.5871795238095238
26,27,2020-05-15,06:30,24.7863229,24.548886100000004,0.042435399,1.2435561904761905,1.2842057142857144
27,28,2020-05-15,06:45,25.04824510344827,25.746662,0.1034958783448276,3.373658571428571,3.450897142857143
28,29,2020-05-15,07:00,25.6732025,28.67470703333333,0.1994504836666666,6.61438,6.733253333333332
29,30,2020-05-15,07:15,26.076818,30.72550493103449,0.317665025862069,8.234446666666665,8.379639999999998
30,31,2020-05-15,07:30,26.424239066666665,32.206803566666665,0.3829133633333333,9.919995238095236,10.109332380952383
31,32,2020-05-15,07:45,27.12028751724138,34.59156220689654,0.4482866631034482,11.813325714285714,12.05223142857143
32,33,2020-05-15,08:00,27.678970266666667,35.705856366666666,0.4550275753333332,12.132810476190473,12.379565238095237
33,34,2020-05-15,08:15,27.953492333333333,36.78689773333334,0.509315263,13.784546666666667,14.07128
34,35,2020-05-15,08:30,28.526214655172414,38.617749482758605,0.5709116793103447,15.718433333333332,16.053013333333332
35,36,2020-05-15,08:45,29.31902146666665,40.738035900000014,0.6253999813333333,17.39951142857143,17.77712857142857
36,37,2020-05-15,09:00,29.572043620689648,41.47150403448277,0.6542055951724136,18.295993333333335,18.697333333333336
37,38,2020-05-15,09:15,30.09140723333333,43.4653736,0.7024373413333334,19.7546219047619,20.19525380952381
38,39,2020-05-15,09:30,30.638658379310343,44.1451964137931,0.7566826427586206,19.552767619047614,19.997386666666667
39,40,2020-05-15,09:45,31.375120033333328,45.71952399999999,0.799745994,18.6277319047619,19.05916428571428
40,41,2020-05-15,10:00,31.89209383333333,46.13117390000001,0.828095938,18.14280952380952,18.570720476190477
41,42,2020-05-15,10:15,32.43747986206897,47.14350827586208,0.8748338506896551,17.041513333333334,17.465253333333333
42,43,2020-05-15,10:30,33.07413526666666,48.6802898,0.9080560733333332,17.622486666666664,18.074
43,44,2020-05-15,10:45,33.19247010344828,50.249560172413794,0.943352708275862,18.217238095238095,18.684176666666666
44,45,2020-05-15,11:00,33.46205666666668,51.61099133333334,0.9579001053333333,17.528377142857146,17.97783666666667
45,46,2020-05-15,11:15,34.2517951724138,54.89430189655173,0.9704477541379308,17.313777619047617,17.75735523809524
46,47,2020-05-15,11:30,34.651454666666666,56.08395293333334,0.987932009,17.559640000000005,18.00966
47,48,2020-05-15,11:45,35.15152596551724,55.593795275862064,0.9533445175862068,16.633173333333332,17.0597
48,49,2020-05-15,12:00,35.16610503333333,57.4882405,0.9469201943333332,16.544794761904758,16.9690519047619
49,50,2020-05-15,12:15,36.37757096551724,57.58858162068966,0.977187623448276,17.558464761904766,18.008725714285717
50,51,2020-05-15,12:30,35.96635756666666,58.8881528,0.9562375366666666,17.220086190476188,17.66164857142857
51,52,2020-05-15,12:45,35.992946499999995,57.72948603333334,0.9790904166666669,17.14706,17.586326666666665
52,53,2020-05-15,13:00,36.45858144827585,60.389376793103445,0.9264382120689656,17.397133333333333,17.83813333333334
53,54,2020-05-15,13:15,36.93956406666666,56.85950403333334,0.904246814,17.33182238095238,17.76874571428571
54,55,2020-05-15,13:30,36.89079344827587,57.14867327586207,0.8954739062068966,18.226817142857143,18.68608761904762
55,56,2020-05-15,13:45,36.614378066666674,52.980611200000006,0.8660270623333334,17.310559047619048,17.74631857142857
56,57,2020-05-15,14:00,36.84276606896551,54.810004896551725,0.8379443868965518,17.8061,18.242933333333333
57,58,2020-05-15,14:15,37.3528292,53.53894659999999,0.8261285799999998,18.32702,18.774319999999996
58,59,2020-05-15,14:30,37.268465866666666,51.3589315,0.6810660216666665,16.64204095238095,17.019533809523807
59,60,2020-05-15,14:45,37.21659834482757,49.36587620689655,0.68664654,17.867472380952382,18.272444285714286
60,61,2020-05-15,15:00,37.115580266666655,50.190043166666655,0.6538071269999998,19.638640476190474,20.077719523809527
61,62,2020-05-15,15:15,37.08661827586207,48.28441227586208,0.6051379079310345,18.720180000000003,19.133233333333326
62,63,2020-05-15,15:30,36.626162833333325,45.371701266666655,0.4486365886666666,13.755333333333331,14.042306666666667
63,64,2020-05-15,15:45,36.75573503333335,44.97519003333333,0.5056144153333334,15.524318571428571,15.85571
64,65,2020-05-15,16:00,36.754657551724144,45.037737517241375,0.4504635889655172,13.895899047619048,14.186605714285715
65,66,2020-05-15,16:15,36.599552466666665,41.94711026666667,0.3271433133333333,10.20689380952381,10.408018571428572
66,67,2020-05-15,16:30,36.25738223333334,40.564846766666655,0.2918783699999999,9.140826666666667,9.310133333333333
67,68,2020-05-15,16:45,36.28795296551724,40.679581068965526,0.3002540158620689,9.553453333333334,9.733799999999999
68,69,2020-05-15,17:00,36.00283696666666,39.219846633333326,0.203801124,6.274262380952383,6.389254285714286
69,70,2020-05-15,17:15,35.6273375862069,37.1342668275862,0.1339985576206896,4.18469619047619,4.269249523809523
70,71,2020-05-15,17:30,35.20957449999999,35.67895299999999,0.0668117974,2.0334999999999996,2.0910466666666667
71,72,2020-05-15,17:45,34.73165155172415,34.005620655172415,0.0281551489655172,0.8194399999999998,0.8477733333333334
72,73,2020-05-15,18:00,34.36776166666667,33.148010066666664,0.0178952295833333,0.5265133333333334,0.5452400000000001
73,74,2020-05-15,18:15,33.98528399999999,32.47362655172414,0.010471804437931,0.3223000000000001,0.33397809523809524
74,75,2020-05-15,18:30,33.545849633333326,31.703619466666662,0.0026849175524666,0.04990285714285713,0.05173190476190475
75,76,2020-05-15,18:45,33.09357417241378,31.061414,0.0,0.0,0.0
76,77,2020-05-15,19:00,32.57998866666667,30.368819166666665,0.0,0.0,0.0
77,78,2020-05-15,19:15,32.106470551724136,29.570269413793103,0.0,0.0,0.0
78,79,2020-05-15,19:30,31.78520906666667,29.3748617,0.0,0.0,0.0
79,80,2020-05-15,19:45,31.505344758620687,28.92643162068965,0.0,0.0,0.0
80,81,2020-05-15,20:00,31.4473155,28.39059036666666,0.0,0.0,0.0
81,82,2020-05-15,20:15,30.79767863333333,27.45114633333333,0.0,0.0,0.0
82,83,2020-05-15,20:30,30.55072879310345,27.475042827586208,0.0,0.0,0.0
83,84,2020-05-15,20:45,31.04741058620689,29.370689551724137,0.0001204262175862,0.0,0.0
84,85,2020-05-15,21:00,30.0076782,29.1692108,0.0,0.0,0.0
85,86,2020-05-15,21:15,28.979583733333328,28.141885233333333,0.0,0.0,0.0
86,87,2020-05-15,21:30,28.4271094137931,27.413927793103444,0.0,0.0,0.0
87,88,2020-05-15,21:45,28.300552466666662,27.0304251,0.0,0.0,0.0
88,89,2020-05-15,22:00,28.32985817241379,26.92777213793104,0.0,0.0,0.0
89,90,2020-05-15,22:15,28.324165,26.87666233333333,0.0,0.0,0.0
90,91,2020-05-15,22:30,28.22888173333333,26.848583,0.0,0.0,0.0
91,92,2020-05-15,22:45,28.145526758620687,26.78983489655172,0.0,0.0,0.0
92,93,2020-05-15,23:00,27.70949446428571,26.52979492857143,0.0,0.0,0.0
93,95,2020-05-15,23:30,26.95176844444444,25.081197222222222,0.0,0.0,0.0
94,96,2020-05-15,23:45,26.75583189655173,24.81448375862069,0.0,0.0,0.0
95,1,2020-05-16,00:00,26.52780646666667,24.43326406666667,0.0,0.0,0.0
96,2,2020-05-16,00:15,26.687312620689656,24.52914206896552,0.0,0.0,0.0
97,3,2020-05-16,00:30,26.633027833333333,24.68845123333333,0.0,0.0,0.0
98,4,2020-05-16,00:45,26.676575733333333,24.88044036666667,0.0,0.0,0.0
99,5,2020-05-16,01:00,26.44045593103448,24.55380875862069,0.0,0.0,0.0
100,6,2020-05-16,01:15,26.193042,24.11722213333333,0.0,0.0,0.0
101,7,2020-05-16,01:30,26.00338010344827,23.93489220689656,0.0,0.0,0.0
102,8,2020-05-16,01:45,25.95458273333333,23.974197333333336,0.0,0.0,0.0
103,9,2020-05-16,02:00,25.73270810344827,23.781227931034483,0.0,0.0,0.0
104,10,2020-05-16,02:15,25.415572900000004,23.332380266666668,0.0,0.0,0.0
105,11,2020-05-16,02:30,25.19277224137931,22.96086503448276,0.0,0.0,0.0
106,12,2020-05-16,02:45,24.890646333333336,22.694644266666664,0.0,0.0,0.0
107,13,2020-05-16,03:00,24.73890786666667,22.36363426666667,0.0,0.0,0.0
108,14,2020-05-16,03:15,24.38789213793104,22.108074344827585,0.0,0.0,0.0
109,15,2020-05-16,03:30,24.3363027,21.9420616,0.0,0.0,0.0
110,16,2020-05-16,03:45,24.443725379310344,21.88146162068965,0.0,0.0,0.0
111,17,2020-05-16,04:00,24.145103033333328,21.844981,0.0,0.0,0.0
112,18,2020-05-16,04:15,23.826843103448272,21.78638127586208,0.0,0.0,0.0
113,19,2020-05-16,04:30,23.926709899999995,21.9009552,0.0,0.0,0.0
114,20,2020-05-16,04:45,23.850604333333333,21.746985866666662,0.0,0.0,0.0
115,21,2020-05-16,05:00,23.555944965517245,21.469423448275865,0.0,0.0,0.0
116,22,2020-05-16,05:15,23.608172666666665,21.290091866666668,0.0,0.0,0.0
117,23,2020-05-16,05:30,23.65812755172413,21.13980431034483,0.0,0.0,0.0
118,24,2020-05-16,05:45,23.7527953,21.5181203,0.001471635056,0.0,0.0
119,25,2020-05-16,06:00,24.044604566666663,22.218803,0.0130386867233333,0.30267190476190475,0.31355761904761903
120,26,2020-05-16,06:15,23.967375551724132,22.68291920689656,0.0351802419310345,0.9989066666666667,1.03284
121,27,2020-05-16,06:30,24.587146,23.915494766666665,0.0609255881666666,1.836448571428571,1.892047619047619
122,28,2020-05-16,06:45,25.354185862068967,25.459055931034484,0.0875569148620689,2.7156866666666675,2.7905666666666664
123,29,2020-05-16,07:00,25.97149146666667,27.4219574,0.1271157612,3.6258438095238095,3.7009752380952383
124,30,2020-05-16,07:15,26.566503000000004,28.13256420689656,0.1977868686206896,5.433604761904762,5.537123333333334
125,31,2020-05-16,07:30,27.20900983333333,28.955779966666665,0.3151637090000001,8.408233333333333,8.557279999999999
126,32,2020-05-16,07:45,27.765504866666664,34.27935109999999,0.3058852646666667,8.324602380952381,8.476396666666664
127,33,2020-05-16,08:00,28.175339344827588,37.61465024137932,0.4404601989655171,11.720873333333333,11.957473333333331
128,34,2020-05-16,08:15,29.1131897,42.300315966666666,0.4899591566666666,13.420211904761903,13.69788619047619
129,35,2020-05-16,08:30,29.58924068965517,45.436127724137926,0.5499689682758621,15.19279142857143,15.514132857142856
130,36,2020-05-16,08:45,30.2332306,47.4030934,0.5789609316666666,16.18593333333333,16.532306666666667
131,37,2020-05-16,09:00,30.441318862068968,48.825895,0.6565032462068967,18.243197619047617,18.64305904761904
132,38,2020-05-16,09:15,31.131299866666662,51.06770406666666,0.7055703729999999,19.52997857142857,19.96440476190476
133,39,2020-05-16,09:30,31.737163266666663,54.30058103333333,0.7526609196666668,20.727341428571428,21.194826666666668
134,40,2020-05-16,09:45,32.11526058620689,56.264713862068966,0.7908359968965514,20.661109047619043,21.132765238095242
135,41,2020-05-16,10:00,32.42292273333334,56.885681000000005,0.821054863,17.418533333333336,17.822166666666664
136,42,2020-05-16,10:15,32.974314482758615,58.694732793103455,0.850826361724138,18.185292380952383,18.617789523809524
137,43,2020-05-16,10:30,33.75172126666666,59.498480466666656,0.8944378663333334,16.192338571428568,16.59639476190476
138,44,2020-05-16,10:45,33.87341937931034,59.90787155172414,0.8842393555172413,16.632631904761908,17.041871428571426
139,45,2020-05-16,11:00,34.151093499999995,61.63474146666668,0.9198567633333332,17.13998380952381,17.57084857142857
140,46,2020-05-16,11:15,34.838311733333335,62.845888866666655,0.930322056,17.346832380952378,17.78299476190476
141,47,2020-05-16,11:30,34.8309061724138,63.092098931034485,0.9810386655172416,17.83944,18.292120000000004
142,48,2020-05-16,11:45,35.47820933333332,63.82718396666667,0.9896192403333331,17.051142857142857,17.485090952380954
143,49,2020-05-16,12:00,36.231302137931024,66.0162788275862,0.9797943403448274,15.72769904761905,16.119827142857147
144,50,2020-05-16,12:15,36.358955866666655,62.1692596,0.6037395006666664,13.36650095238095,13.660139047619047
145,51,2020-05-16,12:30,35.73488673333333,55.99414356666667,0.731962184,15.586794285714285,15.947421428571428
146,52,2020-05-16,12:45,35.67410289655172,53.97351393103448,0.4870487120689654,10.827934285714287,11.057164285714284
147,53,2020-05-16,13:00,35.51978066666666,53.70854493333333,0.70216736,15.991596666666666,16.365330476190472
148,54,2020-05-16,13:15,35.95901182758621,54.6805472413793,0.6825979027586205,16.16862,16.54950904761905
149,55,2020-05-16,13:30,36.162999766666665,57.33585800000001,0.8414354963333333,17.497001904761905,17.92888714285714
150,56,2020-05-16,13:45,35.903057700000005,52.909612033333325,0.4480849389999999,10.322661904761905,10.545405714285712
151,57,2020-05-16,14:00,35.1703901724138,48.407383448275866,0.634171807586207,13.678706666666665,13.976779999999998
152,58,2020-05-16,14:15,35.07013266666666,47.87680756666668,0.713821422,18.474928095238095,18.914999047619048
153,59,2020-05-16,14:30,35.35950041379311,51.45765844827587,0.7975343986206896,18.605337142857145,19.055243809523805
154,60,2020-05-16,14:45,35.03316013333334,47.3765094,0.464079111,13.503726190476192,13.788718571428571
155,61,2020-05-16,15:00,34.605278500000004,44.74481596666666,0.443339748,13.624586190476192,13.91171380952381
156,62,2020-05-16,15:15,34.166512275862075,40.970847448275855,0.304116098275862,9.587393333333335,9.766206666666665
157,63,2020-05-16,15:30,34.53725489999999,42.3535389,0.3934120083333333,12.347567619047618,12.599598095238097
158,64,2020-05-16,15:45,34.33549355172413,41.21859306896552,0.3116804148275861,9.889089523809522,10.075410952380953
159,65,2020-05-16,16:00,34.15994656666666,39.690612866666655,0.222285774,7.112233809523811,7.246648095238095
160,66,2020-05-16,16:15,33.8724427586207,38.416914103448285,0.2192462375862069,6.883972857142857,7.005188571428571
161,67,2020-05-16,16:30,33.260399433333326,37.33207720000001,0.1167878973333333,3.559806666666666,3.6382066666666666
162,68,2020-05-16,16:45,31.583788233333337,33.56913959999999,0.0669655043666666,2.138552857142857,2.1977514285714284
163,69,2020-05-16,17:00,31.56179186206896,33.81071955172414,0.0890762916206896,2.748079047619047,2.8149423809523806
164,70,2020-05-16,17:15,31.8386771,32.7122988,0.0307999431833333,0.9574709523809525,0.9894195238095239
165,71,2020-05-16,17:30,31.22422073333334,29.016643266666662,0.0055210760799999,0.3388614285714286,0.3510533333333334
166,72,2020-05-16,17:45,30.5263031724138,27.029708379310332,0.0027049280665517,0.16402666666666668,0.1700733333333333
167,73,2020-05-16,18:00,29.6090585,26.4780304,0.0,0.016682380952380952,0.017282857142857138
168,74,2020-05-16,18:15,29.016219655172417,26.25001072413793,0.0004274467713793,0.0,0.0
169,75,2020-05-16,18:30,29.1915681,26.27404806666668,0.001152606812,0.0,0.0
170,76,2020-05-16,18:45,29.557291533333327,25.794328700000005,0.0006664907476666,0.0,0.0
171,77,2020-05-16,19:00,30.232590344827585,27.72766,0.0014265874813793,0.0,0.0
172,78,2020-05-16,19:15,29.965409300000005,29.1194042,8.698919513333332e-05,0.0,0.0
173,79,2020-05-16,19:30,29.82385472413793,28.76035496551724,0.0,0.0,0.0
174,80,2020-05-16,19:45,29.420118100000003,28.404772933333334,0.0,0.0,0.0
175,81,2020-05-16,20:00,28.763137344827587,27.83533031034484,0.0,0.0,0.0
176,82,2020-05-16,20:15,28.205944733333336,27.102158700000004,0.0,0.0,0.0
177,83,2020-05-16,20:30,28.205386266666668,26.74144586666668,0.0,0.0,0.0
178,84,2020-05-16,20:45,28.36054320689655,26.71066275862069,0.0,0.0,0.0
179,85,2020-05-16,21:00,28.5787841,26.9042196,0.0,0.0,0.0
180,86,2020-05-16,21:15,28.61048517241379,27.115082793103443,0.0,0.0,0.0
181,87,2020-05-16,21:30,28.4075919,26.798993800000005,0.0,0.0,0.0
182,88,2020-05-16,21:45,28.27099406666666,26.638355366666666,0.0,0.0,0.0
183,89,2020-05-16,22:00,28.258463862068968,26.72932162068966,0.0,0.0,0.0
184,90,2020-05-16,22:15,28.136055633333328,26.82591456666667,0.0,0.0,0.0
185,91,2020-05-16,22:30,28.31342096551724,27.72299413793103,0.0,0.0,0.0
186,92,2020-05-16,22:45,28.208466666666663,27.78852123333333,0.0,0.0,0.0
187,93,2020-05-16,23:00,27.52852131034483,27.18614355172414,0.0,0.0,0.0
188,94,2020-05-16,23:15,27.13286423333333,26.697984833333336,0.0,0.0,0.0
189,95,2020-05-16,23:30,26.87304173333333,26.26826893333333,0.0,0.0,0.0
190,96,2020-05-16,23:45,26.525786206896548,25.57391037931034,0.0,0.0,0.0
191,1,2020-05-17,00:00,26.290046066666665,25.420961466666665,0.0,0.0,0.0
192,2,2020-05-17,00:15,26.148865724137927,25.07488058620689,0.0,0.0,0.0
193,3,2020-05-17,00:30,25.88355113333333,24.7258465,0.0,0.0,0.0
194,4,2020-05-17,00:45,25.90616780000001,24.595490533333336,0.0,0.0,0.0
195,5,2020-05-17,01:00,25.762797379310346,24.34820031034483,0.0,0.0,0.0
196,6,2020-05-17,01:15,25.5164062,23.86896563333333,0.0,0.0,0.0
197,7,2020-05-17,01:30,25.3675354,23.30727846666667,0.0,0.0,0.0
198,8,2020-05-17,01:45,24.8305216,22.68963426666667,0.0,0.0,0.0
199,9,2020-05-17,02:00,24.73006183333333,22.41169846666667,0.0,0.0,0.0
200,10,2020-05-17,02:15,24.467926172413787,22.17217706896552,0.0,0.0,0.0
201,11,2020-05-17,02:30,24.2546642,21.830827966666668,0.0,0.0,0.0
202,12,2020-05-17,02:45,24.288478482758624,22.096859793103448,0.0,0.0,0.0
203,13,2020-05-17,03:00,24.1800069,22.02151296666667,0.0,0.0,0.0
204,14,2020-05-17,03:15,23.95225926666667,21.7182801,0.0,0.0,0.0
205,15,2020-05-17,03:30,24.118318793103448,22.020067,0.0,0.0,0.0
206,16,2020-05-17,03:45,24.318871133333328,22.570317666666664,0.0,0.0,0.0
207,17,2020-05-17,04:00,24.36630162068965,22.70163386206896,0.0,0.0,0.0
208,18,2020-05-17,04:15,24.637875333333326,23.12236843333333,4.4788243433333325e-05,0.0,0.0
209,19,2020-05-17,04:30,24.727733655172408,23.30426886206897,0.0,0.0,0.0
210,20,2020-05-17,04:45,24.89812,23.517964733333333,0.0,0.0,0.0
211,21,2020-05-17,05:00,24.736520689655173,23.29568382758621,0.0,0.0,0.0
212,22,2020-05-17,05:15,24.85698943333333,23.20309153333333,0.0,0.0,0.0
213,23,2020-05-17,05:30,24.6831023,23.135338366666662,0.0,0.0,0.0
214,24,2020-05-17,05:45,24.473037241379306,22.77686379310345,9.398705537931032e-05,0.0,0.0
215,25,2020-05-17,06:00,24.319194931034485,23.056784827586203,0.005539939377931,0.08242000000000002,0.08545333333333333
216,26,2020-05-17,06:15,25.05646456666667,24.00412286666667,0.0183704660333333,0.5119780952380952,0.5302542857142857
217,27,2020-05-17,06:30,25.291162066666672,24.82253713333333,0.0262915067333333,0.7634190476190477,0.790055238095238
218,28,2020-05-17,06:45,25.52368889655172,25.355253000000005,0.0311807835517241,0.9115719047619046,0.9428909523809524
219,29,2020-05-17,07:00,25.723395833333328,25.946431433333327,0.047666922,1.4514990476190477,1.4979885714285712
220,30,2020-05-17,07:15,26.135726448275864,27.00165524137931,0.0694368633448276,2.1839399999999998,2.2474266666666667
221,31,2020-05-17,07:30,26.6747182,28.918445866666666,0.1270576554999999,3.989193333333333,4.0740695238095235
222,32,2020-05-17,07:45,27.6051717,32.49521086666666,0.2357182519999999,7.145049047619047,7.276105238095238
223,33,2020-05-17,08:00,28.544006379310343,37.891594034482765,0.430666714137931,12.086656666666666,12.329716190476189
